IndicatorCode,HEPATITIS_HBV_INFECTIONS_NEW_NUM
YEAR,2022
COUNTRY,
AFG,5225.0
AGO,51873.0
ALB,90.0
AND,0.0
ARE,25.0
ARG,152.0
ARM,19.0
ATG,5.0
AUS,222.0
BDI,2100.0
BEN,10139.0
BFA,7307.0
BHR,8.0
BHS,21.0
BIH,168.0
BLR,858.0
BLZ,5.0
BOL,207.0
BRA,642.0
BRB,14.0
BRN,1.0
BTN,14.0
BWA,645.0
CAF,12204.0
CAN,98.0
CHE,15.0
CHL,8.0
CIV,6986.0
CMR,14763.0
COD,105240.0
COG,3808.0
COK,12.0
COL,277.0
COM,230.0
CPV,98.0
CRI,2.0
CUB,3.0
DJI,725.0
DMA,4.0
DOM,281.0
DZA,709.0
ECU,251.0
EGY,1778.0
ERI,775.0
ETH,32926.0
FJI,37.0
FSM,22.0
GAB,1435.0
GEO,132.0
GHA,10325.0
GIN,22313.0
GMB,142.0
GNB,936.0
GNQ,1569.0
GRD,6.0
GTM,200.0
GUY,32.0
HND,46.0
HTI,1498.0
IDN,158563.0
IRN,334.0
IRQ,8241.0
ISL,1.0
ISR,169.0
JAM,167.0
JOR,472.0
JPN,152.0
KAZ,956.0
KEN,11518.0
KGZ,730.0
KHM,888.0
KIR,39.0
KNA,2.0
KOR,189.0
KWT,26.0
LAO,961.0
LBN,95.0
LBR,1996.0
LBY,232.0
LCA,9.0
LKA,1491.0
LSO,1048.0
MAR,187.0
MCO,0.0
MDA,270.0
MDG,4087.0
MDV,175.0
MEX,188.0
MHL,8.0
MKD,48.0
MLI,12432.0
MNE,6.0
MNG,316.0
MOZ,13807.0
MRT,1938.0
MUS,433.0
MWI,2680.0
MYS,5230.0
NAM,630.0
NER,43850.0
NGA,299334.0
NIC,80.0
NIU,1.0
NOR,4.0
NPL,2023.0
NRU,9.0
NZL,18.0
OMN,74.0
PAK,15068.0
PAN,21.0
PER,361.0
PHL,31609.0
PLW,13.0
PNG,8545.0
PRY,106.0
QAT,51.0
RUS,9297.0
RWA,8115.0
SAU,273.0
SDN,15376.0
SEN,2569.0
SGP,41.0
SLB,334.0
SLE,2506.0
SLV,51.0
SMR,0.0
SOM,12218.0
SRB,127.0
SSD,9232.0
STP,74.0
SUR,19.0
SWZ,403.0
SYC,36.0
SYR,19724.0
TCD,25053.0
TGO,5454.0
THA,1104.0
TJK,541.0
TKM,547.0
TLS,657.0
TON,19.0
TTO,25.0
TUN,325.0
TUR,1329.0
TUV,3.0
TZA,10410.0
UGA,5549.0
UKR,990.0
URY,8.0
UZB,801.0
VCT,5.0
VEN,1187.0
VNM,12605.0
VUT,120.0
WSM,41.0
YEM,5474.0
ZAF,13339.0
ZMB,2169.0
ZWE,5389.0
